Student_ID,Semester,Previous_Exam_Marks,Internal_Test_Marks,Assignment_Score,Quiz_Score,Attendance_Percentage,Class_Participation,Average,Improvement,Predicted_Category,Next_Year_Category
S0336,6,20.6,42,32.1,38.3,27,39.9,33.32,21.4,Slow Learner,Average Learner
S0337,1,93.9,95,78.5,94.6,75.4,92.9,88.38,1.1,Fast Learner,Fast Learner
S0337,2,80.1,93.2,80.9,97.4,76.9,85.2,85.62,13.1,Fast Learner,Fast Learner
S0337,3,74.7,75.1,86,100,87.9,82,84.28,0.4,Fast Learner,Fast Learner
S0337,4,92.9,88,71.1,76.5,99.1,76.6,84.03,-4.9,Fast Learner,Fast Learner
S0337,5,93.7,91.7,91.5,90.5,78.4,93.5,89.88,-2,Fast Learner,Fast Learner
S0337,6,76.3,91.9,81.7,82.8,93.6,85.1,85.23,15.6,Fast Learner,Fast Learner
S0338,1,71.4,91.3,91.6,76.4,73.4,92.5,82.77,19.9,Fast Learner,Fast Learner
S0338,2,72.1,75.4,70.8,79.7,81.9,77.2,76.18,3.3,Fast Learner,Fast Learner
S0338,3,88.9,98.5,68.9,81.6,95.8,83.3,86.17,9.6,Fast Learner,Fast Learner
S0338,4,93.8,71.7,90.5,86.7,85.3,80.2,84.7,-22.1,Fast Learner,Fast Learner
S0338,5,97.8,73.8,80.1,98.4,95.7,96.9,90.45,-24,Fast Learner,Fast Learner
S0338,6,79,90.5,78.1,77.6,81,94.5,83.45,11.5,Fast Learner,Fast Learner
S0339,1,55.3,64.3,71.7,48.1,60.2,70.2,61.63,9,Average Learner,Fast Learner
S0339,2,37,41.4,19.3,40.3,38.2,29.1,34.22,4.4,Slow Learner,Slow Learner
S0339,3,34.3,22.3,46.4,32.3,42.7,31.6,34.93,-12,Slow Learner,Slow Learner
S0339,4,22,50.6,29.3,28.1,35,39.3,34.05,28.6,Slow Learner,Average Learner
S0339,5,57.4,49.5,70,53.2,52.6,51.6,55.72,-7.9,Average Learner,Average Learner
S0339,6,96.6,73,76.4,94.6,70.6,99.4,85.1,-23.6,Fast Learner,Fast Learner
S0340,1,38.2,29.4,27.7,30.4,46,33.6,34.22,-8.8,Slow Learner,Slow Learner
S0340,2,36.2,21.5,47.5,37.3,22.2,27,31.95,-14.7,Slow Learner,Slow Learner
S0340,3,56,69.7,61.7,50.4,64.9,57.3,60,13.7,Average Learner,Fast Learner
S0340,4,57.2,51.4,59.2,50.3,66.6,67.8,58.75,-5.8,Average Learner,Average Learner
S0340,5,50,72.9,56.4,72.3,54.8,69.5,62.65,22.9,Average Learner,Fast Learner
S0340,6,49.8,70.7,58,51.9,60.2,61.9,58.75,20.9,Average Learner,Fast Learner
S0341,1,27.8,21.5,38.7,21.5,43.2,41.5,32.37,-6.3,Slow Learner,Slow Learner
S0341,2,33.6,48.8,18.5,36.5,50.4,46.9,39.12,15.2,Slow Learner,Average Learner
S0341,3,64.1,51.3,54.9,64,49.4,66.5,58.37,-12.8,Average Learner,Average Learner
S0341,4,53.5,50.5,66,73.1,61.8,57.6,60.42,-3,Average Learner,Average Learner
S0341,5,56.8,66,60.6,64.8,51.8,47.4,57.9,9.2,Average Learner,Fast Learner
S0341,6,34.7,23.3,38.9,38.7,20.2,24.8,30.1,-11.4,Slow Learner,Slow Learner
S0342,1,96.3,85.8,72.7,83.9,94.7,75.8,84.87,-10.5,Fast Learner,Fast Learner
S0342,2,79.3,82.3,79.4,74.3,76.3,90.6,80.37,3,Fast Learner,Fast Learner
S0342,3,82.2,89.5,74.8,77.5,77.3,72.8,79.02,7.3,Fast Learner,Fast Learner
S0342,4,69.2,69.3,68.9,53.2,65.1,68.7,65.73,0.1,Average Learner,Average Learner
S0342,5,50.6,65.7,68.5,55,50,50.2,56.67,15.1,Average Learner,Fast Learner
S0342,6,55.3,68.8,60.1,69.7,58.7,65.9,63.08,13.5,Average Learner,Fast Learner
S0343,1,31.3,37.4,24.3,20.2,29,39.4,30.27,6.1,Slow Learner,Average Learner
S0343,2,44.7,49.4,31.8,42.7,23.1,21.2,35.48,4.7,Slow Learner,Slow Learner
S0343,3,34.6,24.6,21.8,29.1,20.5,38,28.1,-10,Slow Learner,Slow Learner
S0343,4,41.9,41,41.8,19.9,32.5,25.7,33.8,-0.9,Slow Learner,Slow Learner
S0343,5,35.7,52.4,30.7,29.4,25.4,25.7,33.22,16.7,Slow Learner,Average Learner
S0343,6,41.8,34.4,28.5,27,48.1,30.2,35,-7.4,Slow Learner,Slow Learner
S0344,1,66.8,65,52.6,61.5,65.8,63.2,62.48,-1.8,Average Learner,Average Learner
S0344,2,67.4,49.3,66.2,56,63.6,54.9,59.57,-18.1,Average Learner,Average Learner
S0344,3,68.6,64.1,62.4,70.8,53.7,54.3,62.32,-4.5,Average Learner,Average Learner
S0344,4,21.4,51,40.9,30.3,32.1,33,34.78,29.6,Slow Learner,Average Learner
S0344,5,51.3,62.2,65.5,64.2,52,54.3,58.25,10.9,Average Learner,Fast Learner
S0344,6,47.9,18.1,49.6,20.5,46.8,30.5,35.57,-29.8,Slow Learner,Slow Learner
S0345,1,70.2,82.1,71.3,90.2,99.1,89.7,83.77,11.9,Fast Learner,Fast Learner
S0345,2,82.4,98.5,77.5,87.1,81,92,86.42,16.1,Fast Learner,Fast Learner
S0345,3,74.5,93.8,73.1,75,81.5,72,78.32,19.3,Fast Learner,Fast Learner
S0345,4,57.8,58.1,59.5,56,68.5,56.8,59.45,0.3,Average Learner,Average Learner
S0345,5,61.2,64.1,59.5,48.8,62.3,57,58.82,2.9,Average Learner,Average Learner
S0345,6,70.7,56.2,66.3,51.3,61.5,72.5,63.08,-14.5,Average Learner,Average Learner
S0346,1,29.7,42.6,28.3,45,46.6,45.5,39.62,12.9,Slow Learner,Average Learner
S0346,2,41.7,35.4,50.3,30,43,29.5,38.32,-6.3,Slow Learner,Slow Learner
S0346,3,59.8,68.2,63.3,69.4,61.2,49.9,61.97,8.4,Average Learner,Fast Learner
S0346,4,50,25.5,25.1,20.6,30.8,32.4,30.73,-24.5,Slow Learner,Slow Learner
S0346,5,52.1,54,67.4,51.1,57.5,61.1,57.2,1.9,Average Learner,Average Learner
S0346,6,52.9,64.6,63.2,54,55.3,56.4,57.73,11.7,Average Learner,Fast Learner
S0347,1,92.2,90.1,76.4,80.2,85.4,89.1,85.57,-2.1,Fast Learner,Fast Learner
S0347,2,84.8,84.4,85.4,83.7,86.6,94.4,86.55,-0.4,Fast Learner,Fast Learner
S0347,3,50.3,56.4,49.4,49.1,67.6,59.7,55.42,6.1,Average Learner,Average Learner
S0347,4,56,69.1,52.6,60.2,59.3,50.5,57.95,13.1,Average Learner,Fast Learner
S0347,5,67.1,70.5,48.7,54.1,67.2,70.7,63.05,3.4,Average Learner,Average Learner
S0347,6,68.7,51,65.4,60.6,52.4,55.4,58.92,-17.7,Average Learner,Average Learner
S0348,1,27.1,25.1,52,29.4,33,47.9,35.75,-2,Slow Learner,Slow Learner
S0348,2,31.8,49.9,46.3,28.2,38.7,48.3,40.53,18.1,Slow Learner,Average Learner
S0348,3,28.3,48.6,33.4,36.4,43.3,36.2,37.7,20.3,Slow Learner,Average Learner
S0348,4,47.7,48.1,32.6,41.9,32.4,36.8,39.92,0.4,Slow Learner,Slow Learner
S0348,5,41.3,31,40.4,22.3,44.3,41.2,36.75,-10.3,Slow Learner,Slow Learner
S0348,6,21.7,38.6,50.4,50.4,24.8,30.4,36.05,16.9,Slow Learner,Average Learner
S0349,1,49.8,27.3,30.2,43.9,43.5,49.2,40.65,-22.5,Slow Learner,Slow Learner
S0349,2,37.9,34.6,47.4,42.5,47.5,23.6,38.92,-3.3,Slow Learner,Slow Learner
S0349,3,67.4,48.3,66,54,57.7,63,59.4,-19.1,Average Learner,Average Learner
S0349,4,50.7,68.5,67.7,53.8,72.7,50.7,60.68,17.8,Average Learner,Fast Learner
S0349,5,48.5,70.6,53.7,65.8,68.8,67.3,62.45,22.1,Average Learner,Fast Learner
S0349,6,62,59.2,71.6,54.7,70.9,57.3,62.62,-2.8,Average Learner,Average Learner
S0350,1,63,65.4,48.9,60.7,61.6,49.9,58.25,2.4,Average Learner,Average Learner
S0350,2,66.7,47.3,65.8,60.4,69.8,54.2,60.7,-19.4,Average Learner,Average Learner
S0350,3,50.4,55.8,49.1,62.5,64,70.6,58.73,5.4,Average Learner,Average Learner
S0350,4,70,70.4,51.4,54.3,66.6,69.6,63.72,0.4,Average Learner,Average Learner
S0350,5,50.4,65.4,66.5,68.9,53.2,73.6,63,15,Average Learner,Fast Learner
S0350,6,62.2,48.9,49,48.8,72.3,65.8,57.83,-13.3,Average Learner,Average Learner
S0351,1,87,78.4,89.8,89.7,91.2,99.8,89.32,-8.6,Fast Learner,Fast Learner
S0351,2,82.4,92.2,85.3,68.8,93.2,71.3,82.2,9.8,Fast Learner,Fast Learner
S0351,3,72.9,89.5,77.6,71.1,84.7,79.4,79.2,16.6,Fast Learner,Fast Learner
S0351,4,78.4,94.8,72.6,83.6,84.1,89.8,83.88,16.4,Fast Learner,Fast Learner
S0351,5,92.8,88.6,99.8,89.8,84.5,85.7,90.2,-4.2,Fast Learner,Fast Learner
S0351,6,89.5,72.7,83,90.3,84.6,93.6,85.62,-16.8,Fast Learner,Fast Learner
S0352,1,77.3,90.2,81.3,88.9,93.4,92.8,87.32,12.9,Fast Learner,Fast Learner
S0352,2,85.4,82.9,96.4,97.1,79.5,73.6,85.82,-2.5,Fast Learner,Fast Learner
S0352,3,63.3,52.3,62,62.1,66.7,56.7,60.52,-11,Average Learner,Average Learner
S0352,4,53.6,64.2,50.1,54.2,64.7,61.7,58.08,10.6,Average Learner,Fast Learner
S0352,5,46.8,46.2,32.8,41,20.5,37.2,37.42,-0.6,Slow Learner,Slow Learner
S0352,6,34.4,29.7,40.5,34.6,46.2,24.9,35.05,-4.7,Slow Learner,Slow Learner
S0353,1,31.2,49.7,21,47.3,32.7,38,36.65,18.5,Slow Learner,Average Learner
S0353,2,51.9,42.8,53.4,46.2,31.5,52.8,46.43,-9.1,Slow Learner,Slow Learner
S0353,3,70.1,50.1,52.5,52.4,51,56.3,55.4,-20,Average Learner,Average Learner
S0353,4,48.9,61.1,63.9,61.7,66.8,54.3,59.45,12.2,Average Learner,Fast Learner
S0353,5,64.3,64.6,50.6,66.2,49.9,58.2,58.97,0.3,Average Learner,Average Learner
S0353,6,43.3,27.3,39.8,34.9,26.3,32.8,34.07,-16,Slow Learner,Slow Learner
S0354,1,31.2,27.3,43.9,25.4,27.9,33.8,31.58,-3.9,Slow Learner,Slow Learner
S0354,2,40.5,31.1,33.3,47.9,49.7,46.7,41.53,-9.4,Slow Learner,Slow Learner
S0354,3,45.9,42.6,45.7,24.6,27.6,30.5,36.15,-3.3,Slow Learner,Slow Learner
S0354,4,50.1,61.5,50.6,48.4,63.7,63.9,56.37,11.4,Average Learner,Fast Learner
S0354,5,51.1,52.7,63.3,48.5,47.8,52.1,52.58,1.6,Average Learner,Average Learner
S0354,6,64.3,58,52.3,73.4,63.4,49.7,60.18,-6.3,Average Learner,Average Learner
S0355,1,92.9,76.3,87.7,91,89.6,91.2,88.12,-16.6,Fast Learner,Fast Learner
S0355,2,99.7,78.5,98,71.4,76.4,72.5,82.75,-21.2,Fast Learner,Fast Learner
S0355,3,63.8,50.5,67.4,63.7,58.8,53.6,59.63,-13.3,Average Learner,Average Learner
S0355,4,32.6,28.9,45.5,22.8,29.4,26.2,30.9,-3.7,Slow Learner,Slow Learner
S0355,5,34.8,31.5,40.5,49.3,49.5,44.6,41.7,-3.3,Slow Learner,Slow Learner
S0355,6,44.9,24,24.2,29.4,24.8,51.3,33.1,-20.9,Slow Learner,Slow Learner
S0356,1,90.2,97.5,98.7,83.6,79.8,79.5,88.22,7.3,Fast Learner,Fast Learner
S0356,2,79.8,82.1,70.3,97.4,94.4,75.5,83.25,2.3,Fast Learner,Fast Learner
S0356,3,84.4,75.3,82.4,100,93.5,91.1,87.78,-9.1,Fast Learner,Fast Learner
S0356,4,87.6,71.9,79,72.7,96.2,69,79.4,-15.7,Fast Learner,Fast Learner
S0356,5,95.3,92.1,93.3,80.3,73.9,73.1,84.67,-3.2,Fast Learner,Fast Learner
S0356,6,97.8,100,87.8,97.3,74.6,72.5,88.33,2.2,Fast Learner,Fast Learner
S0357,1,24.3,43.2,44.3,43.5,51.7,33.1,40.02,18.9,Slow Learner,Average Learner
S0357,2,25.2,31,34.7,27.5,50.6,42.9,35.32,5.8,Slow Learner,Average Learner
S0357,3,28.4,31,42,28.8,28.3,27.5,31,2.6,Slow Learner,Slow Learner
S0357,4,37.8,21.6,29.6,19.7,26.5,24.7,26.65,-16.2,Slow Learner,Slow Learner
S0357,5,42.7,32,40.1,43.7,44.2,41.9,40.77,-10.7,Slow Learner,Slow Learner
S0357,6,21.9,39,36.4,31.7,20.9,44.9,32.47,17.1,Slow Learner,Average Learner
S0358,1,24.3,37.6,20.6,30.4,44,49.2,34.35,13.3,Slow Learner,Average Learner
S0358,2,25.5,26.2,37.2,34,24.6,43.9,31.9,0.7,Slow Learner,Slow Learner
S0358,3,48.3,37,23,46.4,26.6,35.5,36.13,-11.3,Slow Learner,Slow Learner
S0358,4,50.8,34.6,26.2,45,42.6,48.1,41.22,-16.2,Slow Learner,Slow Learner
S0358,5,24.4,50.8,35.9,41.6,46,25,37.28,26.4,Slow Learner,Average Learner
S0358,6,33.7,35.6,34,42.8,42.7,45,38.97,1.9,Slow Learner,Slow Learner
S0359,1,35.2,29.1,25.4,23.4,34.4,24,28.58,-6.1,Slow Learner,Slow Learner
S0359,2,25.9,23.8,48.1,41.7,48.7,41.4,38.27,-2.1,Slow Learner,Slow Learner
S0359,3,64.4,57,68.6,73,57.8,66.4,64.53,-7.4,Average Learner,Average Learner
S0359,4,56.9,61.5,49.4,59.1,56,54.6,56.25,4.6,Average Learner,Average Learner
S0359,5,59.5,51.8,64.5,63.4,58.9,53.1,58.53,-7.7,Average Learner,Average Learner
S0359,6,55.7,57.8,58.2,69.2,71.2,64.8,62.82,2.1,Average Learner,Average Learner
S0360,1,60.8,70,70.7,53.6,51.5,65.4,62,9.2,Average Learner,Fast Learner
S0360,2,60.2,68.2,60.7,51,58.5,70.3,61.48,8,Average Learner,Average Learner
S0360,3,58.7,62.9,66.3,51.4,64.3,62,60.93,4.2,Average Learner,Average Learner
S0360,4,69.9,65.9,59,70.1,60.6,64.1,64.93,-4,Average Learner,Average Learner
S0360,5,56,70.3,54.9,68.9,64.3,59.9,62.38,14.3,Average Learner,Fast Learner
S0360,6,56,71.1,67.3,70.1,57.3,57.4,63.2,15.1,Average Learner,Fast Learner
S0361,1,75.3,85,97.5,86.8,77.7,70.9,82.2,9.7,Fast Learner,Fast Learner
S0361,2,88.5,71.4,87.7,87.9,91.9,71.1,83.08,-17.1,Fast Learner,Fast Learner
S0361,3,83.9,85.6,73.4,88.1,89.9,91,85.32,1.7,Fast Learner,Fast Learner
S0361,4,97.7,94.2,89.8,95.7,93.2,84.6,92.53,-3.5,Fast Learner,Fast Learner
S0361,5,77.3,73.3,79.6,94.1,91.3,74.2,81.63,-4,Fast Learner,Fast Learner
S0361,6,79.9,90.8,91.4,77.9,71.9,90.2,83.68,10.9,Fast Learner,Fast Learner
S0362,1,91.4,82.4,75.8,92.6,94.3,73.3,84.97,-9,Fast Learner,Fast Learner
S0362,2,80.2,89.3,93.9,88.2,86.2,92.9,88.45,9.1,Fast Learner,Fast Learner
S0362,3,92.9,84.2,79.6,97.1,97.3,99.2,91.72,-8.7,Fast Learner,Fast Learner
S0362,4,84,94.3,80.2,82.5,78.2,97.3,86.08,10.3,Fast Learner,Fast Learner
S0362,5,97.3,76.1,88.6,72.7,99.1,90,87.3,-21.2,Fast Learner,Fast Learner
S0362,6,97.5,75.5,98,80.6,79.1,82.9,85.6,-22,Fast Learner,Fast Learner
S0363,1,61.4,61.4,65,65.2,53.6,66.5,62.18,0,Average Learner,Average Learner
S0363,2,63,49.1,66.1,62.3,57.9,63.4,60.3,-13.9,Average Learner,Average Learner
S0363,3,62.7,59,67.7,62.8,48,53.5,58.95,-3.7,Average Learner,Average Learner
S0363,4,70.8,68.1,54.7,72.1,58,63.1,64.47,-2.7,Average Learner,Average Learner
S0363,5,62.8,64.3,58.5,48.5,69.2,73,62.72,1.5,Average Learner,Average Learner
S0363,6,61.1,65.9,53.7,60.3,63.7,67.4,62.02,4.8,Average Learner,Average Learner
S0364,1,78.5,89.6,89.4,72.2,78.6,87.1,82.57,11.1,Fast Learner,Fast Learner
S0364,2,84.7,90.8,70.4,79.4,72.1,72.6,78.33,6.1,Fast Learner,Fast Learner
S0364,3,94.7,80.6,79.1,92.6,80,73.6,83.43,-14.1,Fast Learner,Fast Learner
S0364,4,85.3,91.7,70.7,72.8,80.5,74.1,79.18,6.4,Fast Learner,Fast Learner
S0364,5,90.8,72.6,78.9,78.2,73.9,88.9,80.55,-18.2,Fast Learner,Fast Learner
S0364,6,80.7,80.3,77.2,73.5,84.1,97,82.13,-0.4,Fast Learner,Fast Learner
S0365,1,94.6,87.6,79.7,79.3,73.7,98,85.48,-7,Fast Learner,Fast Learner
S0365,2,71.9,89.8,81.9,100,94.8,72.9,85.22,17.9,Fast Learner,Fast Learner
S0365,3,86.8,72.4,78.6,87.7,74.7,95.1,82.55,-14.4,Fast Learner,Fast Learner
S0365,4,92.8,70.9,79.9,69.6,71.8,81.4,77.73,-21.9,Fast Learner,Fast Learner
S0365,5,88,81.3,72.4,95.5,88.7,98.1,87.33,-6.7,Fast Learner,Fast Learner
S0365,6,72.3,71.8,96,97.8,76.7,69.9,80.75,-0.5,Fast Learner,Fast Learner
S0366,1,76.7,93.1,90.9,80.8,79.6,70,81.85,16.4,Fast Learner,Fast Learner
S0366,2,87.1,87,83.4,92.9,85.8,81.2,86.23,-0.1,Fast Learner,Fast Learner
S0366,3,97.6,88.5,93.9,70.2,84.9,93.6,88.12,-9.1,Fast Learner,Fast Learner
S0366,4,94,88,94.5,90.1,71.8,91.3,88.28,-6,Fast Learner,Fast Learner
S0366,5,71.7,83.2,90.9,96.7,95.3,83.9,86.95,11.5,Fast Learner,Fast Learner
S0366,6,72.7,94,86.9,93,93,80.9,86.75,21.3,Fast Learner,Fast Learner
S0367,1,43,20.8,30.9,41.8,24.1,45.6,34.37,-22.2,Slow Learner,Slow Learner
S0367,2,57.5,66,52.2,64.5,49.4,52.9,57.08,8.5,Average Learner,Fast Learner
S0367,3,80.1,86.8,84.5,95.1,75.6,77.9,83.33,6.7,Fast Learner,Fast Learner
S0367,4,72.8,75.5,89,75.6,95.6,70.3,79.8,2.7,Fast Learner,Fast Learner
S0367,5,64.2,56.2,65.1,70.3,53.8,51.8,60.23,-8,Average Learner,Average Learner
S0367,6,66.1,55.1,68.8,74.1,69.4,61.5,65.83,-11,Average Learner,Average Learner
S0368,1,86.6,99.6,93.8,81.4,87.3,88.7,89.57,13,Fast Learner,Fast Learner
S0368,2,93,88.8,89.6,94.7,72.6,75.6,85.72,-4.2,Fast Learner,Fast Learner
S0368,3,97,80.1,86.1,73.6,86.9,94.5,86.37,-16.9,Fast Learner,Fast Learner
S0368,4,86.9,91.2,79.6,70.4,97.4,92,86.25,4.3,Fast Learner,Fast Learner
S0368,5,93.9,78.6,85.1,75.9,82.6,74.7,81.8,-15.3,Fast Learner,Fast Learner
S0368,6,84.3,88.3,100,87.8,93.1,91.7,90.87,4,Fast Learner,Fast Learner
S0369,1,63.1,57.1,67,55.3,52.2,61.1,59.3,-6,Average Learner,Average Learner
S0369,2,67.3,60.7,66.2,57,60.8,50.8,60.47,-6.6,Average Learner,Average Learner
S0369,3,65.4,56.4,62.8,63.3,55.6,60.2,60.62,-9,Average Learner,Average Learner
S0369,4,69.4,68.9,56.8,58.2,65.8,71.9,65.17,-0.5,Average Learner,Average Learner
S0369,5,43.8,45,34.1,27,41.6,48.1,39.93,1.2,Slow Learner,Slow Learner
S0369,6,47.7,48.5,22.1,52.9,36.8,53.3,43.55,0.8,Slow Learner,Slow Learner
S0370,1,93.6,84.7,70.2,76.8,75.8,92.6,82.28,-8.9,Fast Learner,Fast Learner
S0370,2,74.9,78.2,84.3,69.1,84.2,92.3,80.5,3.3,Fast Learner,Fast Learner
S0370,3,80.2,86.1,96.7,90.9,96,81.5,88.57,5.9,Fast Learner,Fast Learner
S0370,4,48.9,63.6,69.8,52.1,56.2,47.8,56.4,14.7,Average Learner,Fast Learner
S0370,5,81.8,73.9,85.6,80.3,89.8,74.8,81.03,-7.9,Fast Learner,Fast Learner
S0370,6,91.3,99.2,86.6,83.6,79.1,97,89.47,7.9,Fast Learner,Fast Learner
S0371,1,33.8,20.2,45.8,23.9,36.3,30.8,31.8,-13.6,Slow Learner,Slow Learner
S0371,2,33.4,49.7,30.8,25.5,39.3,26.1,34.13,16.3,Slow Learner,Average Learner
S0371,3,50.9,68.9,63.2,48.6,69.3,53.5,59.07,18,Average Learner,Fast Learner
S0371,4,55.3,49.6,60.5,69.5,56.3,52.5,57.28,-5.7,Average Learner,Average Learner
S0371,5,50.1,69.3,69.3,53.2,66,70.1,63,19.2,Average Learner,Fast Learner
S0371,6,51,57.7,69.1,60.7,60.4,61.2,60.02,6.7,Average Learner,Average Learner
S0372,1,38.4,38.5,47.3,32.5,36.5,20.3,35.58,0.1,Slow Learner,Slow Learner
S0372,2,53.4,65.7,52.5,47.3,49.5,71.7,56.68,12.3,Average Learner,Fast Learner
S0372,3,59.5,50.1,58.8,62.8,50.1,55.9,56.2,-9.4,Average Learner,Average Learner
S0372,4,55.3,59.1,60.4,55.3,68.6,48.2,57.82,3.8,Average Learner,Average Learner
S0372,5,54.4,70.2,74,52.3,61.3,59.5,61.95,15.8,Average Learner,Fast Learner
S0372,6,62.1,54.6,60.2,51.3,55.7,48.7,55.43,-7.5,Average Learner,Average Learner
S0373,1,95.3,78.6,77.3,90.4,75.9,89.2,84.45,-16.7,Fast Learner,Fast Learner
S0373,2,87.9,85.4,71.5,91.7,84.2,74.6,82.55,-2.5,Fast Learner,Fast Learner
S0373,3,78.4,86.7,77.8,90.3,90.9,87.4,85.25,8.3,Fast Learner,Fast Learner
S0373,4,80.9,78.4,92.7,97.2,82.7,70.2,83.68,-2.5,Fast Learner,Fast Learner
S0373,5,85.1,89.7,83.4,79.8,88.8,94.3,86.85,4.6,Fast Learner,Fast Learner
S0373,6,78.5,74.4,95.1,97.3,84.1,75.1,84.08,-4.1,Fast Learner,Fast Learner
S0374,1,39.5,33.5,49.4,40.5,32.8,28.4,37.35,-6,Slow Learner,Slow Learner
S0374,2,50,54.4,69.4,62.2,59.1,55.1,58.37,4.4,Average Learner,Average Learner
S0374,3,63.2,68.8,53.3,47.1,61.3,58.9,58.77,5.6,Average Learner,Average Learner
S0374,4,58.8,54.7,71.2,72.6,62.3,70.2,64.97,-4.1,Average Learner,Average Learner
S0374,5,52,54.2,51.5,54.1,50.5,67.4,54.95,2.2,Average Learner,Average Learner
S0374,6,60.5,59.3,53.8,56.7,59.8,53.7,57.3,-1.2,Average Learner,Average Learner
S0375,1,40.8,40.6,23.1,33.4,36.8,29.4,34.02,-0.2,Slow Learner,Slow Learner
S0375,2,65.9,57.6,56.1,66.1,53.6,50.5,58.3,-8.3,Average Learner,Average Learner
S0375,3,55.6,70.8,63.7,55.5,58.8,53.9,59.72,15.2,Average Learner,Fast Learner
S0375,4,56,62.7,62.9,60.7,62.7,57.5,60.42,6.7,Average Learner,Average Learner
S0375,5,47.7,58,57.1,55.4,58.2,56.5,55.48,10.3,Average Learner,Fast Learner
S0375,6,66.8,68.7,56.8,66.8,52.5,63.9,62.58,1.9,Average Learner,Average Learner
S0376,1,30.6,30.1,45.7,33.5,39.6,32.9,35.4,-0.5,Slow Learner,Slow Learner
S0376,2,21.8,32.8,48.7,41,49.3,44.8,39.73,11,Slow Learner,Average Learner
S0376,3,29.2,50.5,48.5,41,32,27,38.03,21.3,Slow Learner,Average Learner
S0376,4,36.4,23.2,48.5,50.3,47.9,45.4,41.95,-13.2,Slow Learner,Slow Learner
S0376,5,44,33.8,31.2,23.5,20.2,33.7,31.07,-10.2,Slow Learner,Slow Learner
S0376,6,22.8,42.1,33.5,20.3,51.8,39.9,35.07,19.3,Slow Learner,Average Learner
S0377,1,91.4,71.9,87.8,90.1,81,96.4,86.43,-19.5,Fast Learner,Fast Learner
S0377,2,99.3,78.1,69.7,94.1,75.6,83.8,83.43,-21.2,Fast Learner,Fast Learner
S0377,3,78.8,95.4,83,87.2,76.5,91.2,85.35,16.6,Fast Learner,Fast Learner
S0377,4,83.7,99.2,75.7,88.3,78.1,90.6,85.93,15.5,Fast Learner,Fast Learner
S0377,5,73,82.9,75.5,87.6,82.1,81.6,80.45,9.9,Fast Learner,Fast Learner
S0377,6,93.8,79.1,82.2,94.6,86.8,96.8,88.88,-14.7,Fast Learner,Fast Learner
S0378,1,42.6,36.6,39.8,50.4,49.7,40.9,43.33,-6,Slow Learner,Slow Learner
S0378,2,26.4,44.5,40.7,45.4,41.7,27.5,37.7,18.1,Slow Learner,Average Learner
S0378,3,30.5,30.4,23.3,45.4,23.9,20.6,29.02,-0.1,Slow Learner,Slow Learner
S0378,4,34.7,36.2,22.7,29.4,45.4,26.8,32.53,1.5,Slow Learner,Slow Learner
S0378,5,39.8,40.5,46.8,25.5,37.7,22.1,35.4,0.7,Slow Learner,Slow Learner
S0378,6,41.9,31.4,33.7,36.8,43.8,23.7,35.22,-10.5,Slow Learner,Slow Learner
S0379,1,42.1,37.7,50.1,49.1,38.5,24.4,40.32,-4.4,Slow Learner,Slow Learner
S0379,2,43.5,48.9,32.5,45.6,44.1,24.6,39.87,5.4,Slow Learner,Average Learner
S0379,3,22.3,43.5,39.6,47.4,28.7,49.5,38.5,21.2,Slow Learner,Average Learner
S0379,4,22.8,37.7,18.9,37.4,33.5,40.3,31.77,14.9,Slow Learner,Average Learner
S0379,5,23.1,31.2,36.6,43.3,35.3,38.7,34.7,8.1,Slow Learner,Average Learner
S0379,6,36.1,48.3,49.1,32.2,50.3,20,39.33,12.2,Slow Learner,Average Learner
S0380,1,39.9,39.7,43.6,43.2,45.4,27.5,39.88,-0.2,Slow Learner,Slow Learner
S0380,2,31,51.6,31.6,27.7,39.9,32.8,35.77,20.6,Slow Learner,Average Learner
S0380,3,56.2,55.8,69.4,49.5,49.4,55.1,55.9,-0.4,Average Learner,Average Learner
S0380,4,59.7,63.7,73.3,49.3,58.1,57.3,60.23,4,Average Learner,Average Learner
S0380,5,63.5,51.3,62,68.5,53.4,64.5,60.53,-12.2,Average Learner,Average Learner
S0380,6,52.2,70.7,67.4,66.5,56.1,49,60.32,18.5,Average Learner,Fast Learner
S0381,1,38.8,39.1,29.7,22.5,50.4,37.1,36.27,0.3,Slow Learner,Slow Learner
S0381,2,40.4,50.8,19.8,48.2,27.8,21.3,34.72,10.4,Slow Learner,Average Learner
S0381,3,64.4,67.1,57.7,58.4,62.5,56.9,61.17,2.7,Average Learner,Average Learner
S0381,4,34.4,34.7,41.9,49.9,45.5,44.9,41.88,0.3,Slow Learner,Slow Learner
S0381,5,39.1,34.2,39.3,37.8,28.3,39.7,36.4,-4.9,Slow Learner,Slow Learner
S0381,6,38.4,50.2,48.3,42.4,35.1,31.5,40.98,11.8,Slow Learner,Average Learner
S0382,1,49.5,62.7,58.8,62.5,61.1,67.2,60.3,13.2,Average Learner,Fast Learner
S0382,2,66.1,60.5,54.1,71.5,49.6,51.6,58.9,-5.6,Average Learner,Average Learner
S0382,3,60.4,52.2,50.9,54,63.1,64,57.43,-8.2,Average Learner,Average Learner
S0382,4,63.8,57.4,64.2,63.1,50.3,70.3,61.52,-6.4,Average Learner,Average Learner
S0382,5,87.3,98.5,90.1,87.7,92.9,93.9,91.73,11.2,Fast Learner,Fast Learner
